CUSTOMERKEY;FIRSTNAME;LASTNAME;CITYKEY
11267;David;Diaz;302
11268;Katelyn;Carter;312
11269;Ryan;Foster;314
11270;Robert;Lee;334
11271;Danielle;Reed;360
11272;Lauren;Martinez;300
11273;Nathan;Lal;331
11274;Kyle;Foster;564
11275;Jenny;Rai;310
11276;Nancy;Chapman;49
11277;Charles;Jackson;62
11278;Jonathan;Phillips;564
11279;Amanda;Cook;564
11280;Robert;Collins;564
11281;Megan;Barnes;301
11282;Christian;Thomas;564
11283;Arturo;Lal;299
11284;Theresa;Serrano;307
11285;Jeremy;Anderson;322
11286;Hunter;Griffin;374
11287;Henry;Garcia;49
11288;Cindy;Sanchez;301
11289;Maria;Carter;315
11290;Katelyn;Sanchez;334
11291;Jenna;Wright;335
11292;Seth;Phillips;361
11293;Luke;Long;564
11294;Dalton;Clark;564
11295;Taylor;Lewis;311
11296;Haley;Richardson;564
11297;Noah;Coleman;301
11298;Jon;Luo;307
11299;Orlando;Vazquez;301
11300;Fernando;Barnes;54
11301;Cameron;Rodriguez;564
11302;Spencer;Russell;539
11303;Julia;Coleman;564
11304;Julia;Garcia;547
11305;Sean;Evans;307
11306;Micah;Zhou;312
11307;Hunter;Rodriguez;314
11308;Ian;Gonzales;546
11309;Victoria;Lewis;536
11310;Erin;Sanders;360
11311;Gabrielle;Lopez;564
11312;Sara;Richardson;564
11313;Trevor;Jenkins;564
11314;Mya;Flores;564
11315;Hailey;Ward;564
11316;Luke;Allen;51
11317;Victoria;Russell;548
11318;Jessica;Wilson;564
11319;Jade;Bailey;348
11320;Morgan;Hill;325
11321;Terrance;Raman;564
11322;Sydney;Garcia;564
11323;Jose;Patterson;314
11324;Zachary;Anderson;325
11325;Elijah;Ross;564
11326;Rafael;Xie;300
11327;Jaime;Moreno;301
11328;Julian;Griffin;55
11329;Andy;Alvarez;311
11330;Ryan;Thompson;59
11331;Samantha;Jenkins;63
11332;Deanna;Ramos;153
11333;Emily;Miller;261
11334;Nicole;Brown;269
11335;Carla;Raman;120
11336;Shaun;Raji;204
11337;Jerome;Romero;273
11338;Frank;Navarro;154
11339;Dennis;She;202
11340;Melody;Munoz;192
11341;Randy;Zeng;236
11342;Marshall;Wang;191
11343;Arthur;Carlson;264
11344;Jessie;Jimenez;262
11345;Robin;Ramos;224
11346;Deanna;Gutierrez;196
11347;Roy;Navarro;156
11348;Shawn;Rai;151
11349;Mindy;Luo;134
11350;Cara;Zhou;265
11351;Anne;Ramos;253
11352;Raymond;Rodriguez;222
11353;Carrie;Ortega;271
11354;Deanna;Suarez;119
11355;Roberto;Gutierrez;275
11356;Terrence;Carson;6
11357;Ramon;Ye;21
11358;Cynthia;Malhotra;2
11359;Jarrod;Prasad;7
11360;Tyrone;Serrano;26
11361;Cindy;Ramos;10
11362;Damien;Shan;33
11363;Julian;Ross;35
11364;Jennifer;Collins;34
11365;Brittney;Sun;29
11366;Virginia;Patel;37
11367;Calvin;Nara;12
11368;Edward;Miller;26
11369;Ashlee;Tang;29
11370;Alicia;Xu;38
11371;Lacey;Jai;26
11372;Wendy;Romero;20
11373;Carly;Luo;135
11374;Jimmy;Ortega;162
11375;Francisco;Martinez;240
11376;Lance;Vazquez;268
11377;David;Robinett;161
11378;Shannon;Liang;184
11379;Gary;Vazquez;214
11380;Mitchell;Kumar;175
11381;Meredith;Raman;249
11382;Edward;Patterson;189
11383;Marie;Gill;206
11384;Tiffany;Wang;211
11385;Miguel;Allen;279
11386;Jaclyn;Cai;127
11387;Megan;Ramirez;238
11388;Joseph;Martin;279
11389;Karl;Shan;130
11390;Christine;Raji;208
11391;Lindsay;Xie;135
11392;Willie;Zhao;131
11393;Kurt;Pal;182
11394;George;McDonald;259
11395;Beth;Gutierrez;118
11396;Ian;Lopez;175
11397;Latoya;Shan;197
11398;Colin;Nath;261
11399;Brenda;Mehta;202
11400;Franklin;Raji;251
11401;Linda;Navarro;204
11402;Kelli;Cai;183
11403;Nancy;Schmidt;179
11404;Megan;Taylor;133
11405;Bonnie;Goel;143
11406;Latoya;Xu;199
11407;Mario;She;170
11408;Darren;Gill;257
11409;Jacqueline;Hayes;208
11410;Maurice;Goel;201
11411;Devin;Ross;121
11412;Sydney;Bryant;121
11413;Megan;Stewart;238
11414;Ian;Richardson;241
11415;Randy;She;127
11416;Katrina;Becker;185
